Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",140.970000,-105.156000,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",153.543000,-117.983000,90.000000,bottom
"C3","1uF","C_0805_2012Metric",145.796000,-122.174000,0.000000,bottom
"C4","22pF","C_0805_2012Metric",133.604000,-110.109000,180.000000,bottom
"C5","22pF","C_0805_2012Metric",133.604000,-116.586000,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",136.779000,-119.888000,90.000000,bottom
"C7","10uF","C_0805_2012Metric",152.654000,-107.188000,0.000000,bottom
"C8","4.7n","C_0805_2012Metric",60.579000,-30.988000,90.000000,bottom
"D1","SOD-123","D_SOD-123",45.720000,-44.323000,90.000000,bottom
"D2","SOD-123","D_SOD-123",64.770000,-44.323000,90.000000,bottom
"D3","SOD-123","D_SOD-123",83.820000,-44.323000,90.000000,bottom
"D4","SOD-123","D_SOD-123",102.870000,-44.323000,90.000000,bottom
"D5","SOD-123","D_SOD-123",121.920000,-44.323000,90.000000,bottom
"D6","SOD-123","D_SOD-123",140.970000,-44.323000,90.000000,bottom
"D7","SOD-123","D_SOD-123",36.830000,-63.373000,90.000000,bottom
"D8","SOD-123","D_SOD-123",55.880000,-63.373000,90.000000,bottom
"D9","SOD-123","D_SOD-123",74.930000,-63.373000,90.000000,bottom
"D10","SOD-123","D_SOD-123",93.980000,-63.373000,90.000000,bottom
"D11","SOD-123","D_SOD-123",113.030000,-63.373000,90.000000,bottom
"D12","SOD-123","D_SOD-123",132.080000,-63.373000,90.000000,bottom
"D13","SOD-123","D_SOD-123",165.100000,-63.373000,90.000000,bottom
"D14","SOD-123","D_SOD-123",184.150000,-63.373000,90.000000,bottom
"D15","SOD-123","D_SOD-123",203.200000,-63.373000,90.000000,bottom
"D16","SOD-123","D_SOD-123",222.250000,-63.373000,90.000000,bottom
"D17","SOD-123","D_SOD-123",241.300000,-63.373000,90.000000,bottom
"D18","SOD-123","D_SOD-123",260.349000,-63.373000,90.000000,bottom
"D19","SOD-123","D_SOD-123",36.830000,-82.423000,90.000000,bottom
"D20","SOD-123","D_SOD-123",55.880000,-82.423000,90.000000,bottom
"D21","SOD-123","D_SOD-123",74.930000,-82.423000,90.000000,bottom
"D22","SOD-123","D_SOD-123",93.980000,-82.423000,90.000000,bottom
"D23","SOD-123","D_SOD-123",113.030000,-82.423000,90.000000,bottom
"D24","SOD-123","D_SOD-123",132.080000,-82.423000,90.000000,bottom
"D25","SOD-123","D_SOD-123",165.100000,-82.423000,90.000000,bottom
"D26","SOD-123","D_SOD-123",184.150000,-82.423000,90.000000,bottom
"D27","SOD-123","D_SOD-123",203.200000,-82.423000,90.000000,bottom
"D28","SOD-123","D_SOD-123",222.250000,-82.423000,90.000000,bottom
"D29","SOD-123","D_SOD-123",241.300000,-82.423000,90.000000,bottom
"D30","SOD-123","D_SOD-123",260.350000,-82.423000,90.000000,bottom
